date,keyword,level_last,mean_w,slope_w,z_last,lift_vs_mean_w,lift_vs_ref,momentum_1,momentum_7,coefvar_w,days_since_peak,peak,peak_gini,burstiness,trend_strength,seasonality_strength,lift_vs_cohort_med,corr_with_cohort_med,future_mean_7d,future_max_7d,future_sum_7d,growth_label_metric,target
2021-11-07,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2021-11-14,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2021-11-21,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2021-11-28,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2021-12-05,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2021-12-12,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2021-12-19,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2021-12-26,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-01-02,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-01-09,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-01-16,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-01-23,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-01-30,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
2022-02-06,romance movie,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0
